443.6666666666667, 0.55
491.3333333333333, 0.65
664.6666666666666, 1.0
713.3333333333334, 1.1
734.6666666666666, 1.15
788.3333333333334, 1.25
307.0, 0.3
294.6666666666667, 0.25
381.0, 0.4
593.0, 0.85
244.66666666666666, 0.15
426.0, 0.5
267.6666666666667, 0.2
158.0, 0.05
350.3333333333333, 0.35
642.0, 0.95
846.0, 1.35
863.0, 1.4
827.0, 1.3
761.3333333333334, 1.2
685.3333333333334, 1.05
911.6666666666666, 1.45
540.3333333333334, 0.75
516.3333333333334, 0.7
88.66666666666667, 0.0
616.3333333333334, 0.9
406.0, 0.45
560.3333333333334, 0.8
200.33333333333334, 0.1
461.0, 0.6
