459.0, 0.55
510.6666666666667, 0.65
678.6666666666666, 1.0
718.3333333333334, 1.1
744.6666666666666, 1.15
795.0, 1.25
345.0, 0.3
318.0, 0.25
394.3333333333333, 0.4
597.6666666666666, 0.85
251.0, 0.15
443.0, 0.5
304.3333333333333, 0.2
171.66666666666666, 0.05
364.0, 0.35
660.6666666666666, 0.95
846.0, 1.35
870.3333333333334, 1.4
821.0, 1.3
766.3333333333334, 1.2
698.6666666666666, 1.05
898.6666666666666, 1.45
546.0, 0.75
531.6666666666666, 0.7
87.0, 0.0
626.6666666666666, 0.9
413.3333333333333, 0.45
577.3333333333334, 0.8
215.0, 0.1
484.6666666666667, 0.6
